Company,Track,Role,URL,Status,Resume Variant,Cover Letter,Notes,Location
Google,BigTech,"Cloud Infrastructure Engineer, HPC, TPU, Public Sector",https://careers.google.com/jobs/results/?q=Platforms+Infrastructure+Engineering,To Apply,Resume_BigTech_2026,,[URL needs manual lookup on careers.google.com],
Google,BigTech,"Data Infrastructure Engineer, Google Customer Solutions",https://careers.google.com/jobs/results/?q=Platforms+Infrastructure+Engineering,To Apply,Resume_BigTech_2026,,[URL needs manual lookup on careers.google.com],
Google,BigTech,"Cloud Platforms and Infrastructure Engineer, TPU/GPU, Google Cloud",https://careers.google.com/jobs/results/?q=Platforms+Infrastructure+Engineering,To Apply,Resume_BigTech_2026,cover_letter_google_2026.md,Tier 1 [URL needs manual lookup on careers.google.com],
Google,BigTech,"Cloud Platforms and Infrastructure Engineer, Google Cloud",https://careers.google.com/jobs/results/?q=Platforms+Infrastructure+Engineering,To Apply,Resume_BigTech_2026,,[URL needs manual lookup on careers.google.com],
Google,BigTech,"SoC Test Automation and Infrastructure Engineer, Platforms",https://careers.google.com/jobs/results/?q=Platforms+Infrastructure+Engineering,To Apply,Resume_BigTech_2026,,[URL needs manual lookup on careers.google.com],
Google,BigTech,"Cloud Engineer, Infrastructure, Professional Services, Google Cloud (English, Portuguese or Spanish)",https://careers.google.com/jobs/results/?q=Platforms+Infrastructure+Engineering,To Apply,Resume_BigTech_2026,,[URL needs manual lookup on careers.google.com],
Google,BigTech,"Staff Software Engineer, Infrastructure, Platforms Infrastructure Engineering",https://careers.google.com/jobs/results/?q=Platforms+Infrastructure+Engineering,To Apply,Resume_BigTech_2026,cover_letter_google_2026.md,Tier 1 [URL needs manual lookup on careers.google.com],
Google,BigTech,"Senior Software Engineer, Infrastructure, Platforms Infrastructure Engineering",https://careers.google.com/jobs/results/?q=Platforms+Infrastructure+Engineering,To Apply,Resume_BigTech_2026,cover_letter_google_2026.md,Tier 1 [URL needs manual lookup on careers.google.com],
Google,BigTech,"Senior Software Engineer, Platforms Infrastructure Engineering",https://careers.google.com/jobs/results/?q=Platforms+Infrastructure+Engineering,To Apply,Resume_BigTech_2026,cover_letter_google_2026.md,Tier 1 [URL needs manual lookup on careers.google.com],
Google,BigTech,"Software Engineer III, Performance, Platforms Infrastructure Engineering",https://careers.google.com/jobs/results/?q=Platforms+Infrastructure+Engineering,To Apply,Resume_BigTech_2026,,[URL needs manual lookup on careers.google.com],
